user,prob
TestA_21427,0.16162245283640667
TestA_08694,0.41389197471379974
TestA_13449,0.02389662647477729
TestA_10937,0.41244617806159223
TestA_14194,0.25168381743216267
TestA_04142,0.4585949231992384
TestA_20166,0.18288718688520442
TestA_17983,0.12716925191003328
TestA_10104,0.3451694869165441
TestA_15397,0.19247060866556834
TestA_07985,0.11618947938775345
TestA_09154,0.32619554296378006
TestA_18305,0.14481660916327113
TestA_06809,0.2652030504549504
TestA_04883,0.288917092668735
TestA_02217,0.33700771002938
TestA_16006,0.33215648210383697
TestA_00977,0.2582219737499551
TestA_01905,0.5220592400662806
TestA_20451,0.25420496935091585
TestA_21316,0.2961600160455192
TestA_17506,0.24812237024360337
TestA_20431,0.09733504726854311
TestA_20089,0.308319143026714
TestA_24240,0.22461641513083352
TestA_22909,0.08280475610127429
TestA_09747,0.24214195373853048
TestA_05613,0.27536728824450096
TestA_10587,0.33530297665764947
TestA_05519,0.20053158263522136
TestA_13142,0.5031825848907939
TestA_17393,0.38908484984953157
TestA_08589,0.29223522422288956
TestA_07228,0.2293504336207557
TestA_13332,0.39374799464344445
TestA_04488,0.30851640414101406
TestA_05463,0.3473399973304988
TestA_18691,0.3386181178387952
TestA_13152,0.4289199453611528
TestA_09911,0.2283992916903776
TestA_00622,0.1854128765069267
TestA_07033,0.4057684913201121
TestA_13947,0.08947050696669111
TestA_04426,0.4311728948219026
TestA_20601,0.3948969815971297
TestA_20646,0.28769789167069443
TestA_13361,0.22822546017559933
TestA_00835,0.4013180174741725
TestA_19385,0.3679205624214651
TestA_11839,0.4931359060071217
TestA_16288,0.06685583446410809
TestA_21936,0.19942458823685486
TestA_23905,0.4034335482749678
TestA_15846,0.26196846368368654
TestA_01280,0.018065459078315266
TestA_02460,0.4179449350812274
TestA_03723,0.29606583862356006
TestA_08463,0.2964616938036865
TestA_13291,0.28117694984493047
TestA_15403,0.2402526825600108
TestA_07325,0.37681659740515194
TestA_07044,0.2799037400584275
TestA_12423,0.35977455739986813
TestA_03826,0.32838622100658194
TestA_15872,0.34284583575967675
TestA_10612,0.24302297151226726
TestA_02898,0.25731831908848213
TestA_22041,0.015136863141596445
TestA_03833,0.19936247999035933
TestA_12479,0.014264918946747899
TestA_00796,0.13738983270407248
TestA_10632,0.12875083384901267
TestA_10679,0.16511582470372368
TestA_04556,0.2611739062888078
TestA_07277,0.24827083824050136
TestA_12786,0.4757054308200238
TestA_02324,0.41115048898675666
TestA_23755,0.2703532239454746
